txid,input_index,script_type,pubkey_hex,r,s,sighash_type,z,ecdsa_valid
0067c09e06e8f527277825ff6242e6726cf31b7032a2487f8f8fc1058f4c702b,1,P2SH,03b9fb511944ea68e18c61ebf0c27c96cd851599d2e092a9190fe5e22e09f1a300,d5697930bd5b72d9e7f73130e8c7502bc2e72e69a3d057721c9fb72b2d3246a9,22156bd27ad23c57ec55e0dcf78b833b07dbff8e45e4680500c8c5f0b903e64a,1,1aedd9185acb3b582149f5520404fc259ccac1f302de079969ee6d78fb70cfbe,true
0067c09e06e8f527277825ff6242e6726cf31b7032a2487f8f8fc1058f4c702b,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,dcb220423771407df0e3c82c290009c92f5c98a4c478eba153e8e918fd00e48b,409863d7c365c4b5d6c340ec95de01428c86641f244c7e97bcac8457c22df714,1,1aedd9185acb3b582149f5520404fc259ccac1f302de079969ee6d78fb70cfbe,true
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f,0,P2SH,03660dbdc6eab5eb3644b9f36ba7b81907b85f6995ac497dcf91931e8c49a5af5d,341736f63c7d7cdcdda96fe9a9dd2253bd7e6becf66d8ab86eda676904f08607,70edb9a401f019bb884bbc6ebff6fd3f60009939f872866280834031d7605a2c,1,e72c24cd474787c9121a1a7b18a22e9d940a54d35e22429ee906fdb77851675f,true
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,c2ffd0f13a7c024dc653c89de1c956528450dbbfa710ce616391705f31cb64a8,5b8967e870156f0a5a6d64760fdcd0d27439e3b77c0c8f92b3cbdc5db1a532fa,1,e72c24cd474787c9121a1a7b18a22e9d940a54d35e22429ee906fdb77851675f,true
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f,1,P2SH,03660dbdc6eab5eb3644b9f36ba7b81907b85f6995ac497dcf91931e8c49a5af5d,a3309755e1fea69a26881b236744f49e9503a976918abb984e4292c1ff00e1a7,12ad60b8629b7f2731cb2875cf9ec1ff151b5c92a004930a4e84230f4b16cdbc,1,fa73bda35bfc4ffb1840d5fc40f4c2d783043d5fd8c86435ec7cb5e011e3b6e0,true
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,e0ae97988fba3bc6eeb2bcce2962c00f48047af92d7665c9125e01a216a1c9df,7359db5620638a052001bf2185a8e4e5f42d4d2d25a0d04864ccccc48a1912bd,1,fa73bda35bfc4ffb1840d5fc40f4c2d783043d5fd8c86435ec7cb5e011e3b6e0,true
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f,2,P2SH,03660dbdc6eab5eb3644b9f36ba7b81907b85f6995ac497dcf91931e8c49a5af5d,e2d1635fb84b453bbf7194955dbbbc893a0616ba23ce537e2e94caa286153ff8,79fab0577c53bb36d8c159230e522aa3c77c1d17f045996c1c5e69e322e89bb3,1,b7b226ae30c1c5709a4ec2dc98dd3811c9ee2c5ced2d274c5eea91ba621b3185,true
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f,2,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,5d678a4294d78ff0d1f7e1179f55b802233812bfc45ac026c24673d91ef448d7,12892b5290f670c95431c0ea0638bafd0903eec52e8b9e84bdb31ca064a24143,1,b7b226ae30c1c5709a4ec2dc98dd3811c9ee2c5ced2d274c5eea91ba621b3185,true
0096870408a6fdbf6b8f649a91800e4af94d052b443f725741aca05e640905a2,0,P2SH,03c61fd255b8bc158118f58785d781958335d47fe87727d881bf87357176f3fadc,9a009ed5874d160fe08579d52dff301cc53fc88c74c3903cdc84a8efaef2ed87,41f5311378899ec6869b7b32cdaec1f0c2703dee57336d277b855e3c255988d7,1,398973c9d4ac6a94343c018b71ef784bacb83374bcf6c1ca2f614a53a8f22a65,true
0096870408a6fdbf6b8f649a91800e4af94d052b443f725741aca05e640905a2,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,2cc38e3e246a61cb24e99f666baee7ae5a9f0ba818b9ba70e31f0699ee597580,14e6a1c74ecae2e84f1bdfd836bba5d497ac46496ac173d00ae7e2179694102c,1,398973c9d4ac6a94343c018b71ef784bacb83374bcf6c1ca2f614a53a8f22a65,true
